"date","tot_n","keywords","keywords_n","pr","prlow","prhigh","state","period"
2018-02-18,220933,"Breaking the silence",0,0,0,0.00166966847777359,"Oregon","Baseline"
2018-02-18,220933,"Lifeline",5,0.00226312954606148,0.000734835955647922,0.00528130971376176,"Oregon","Baseline"
2018-02-19,228447,"Breaking the silence",0,0,0,0.00161475076097705,"Oregon","Baseline"
2018-02-19,228447,"Lifeline",1,0.000437738293783678,0.0000110825734552686,0.00243889726801313,"Oregon","Baseline"
2018-02-20,250105,"Breaking the silence",0,0,0,0.00147492143300222,"Oregon","Baseline"
2018-02-20,250105,"Lifeline",7,0.00279882449371264,0.00112527977260587,0.00576656258078439,"Oregon","Baseline"
2018-02-21,263895,"Breaking the silence",0,0,0,0.00139784902009178,"Oregon","Baseline"
2018-02-21,263895,"Lifeline",8,0.00303150874400803,0.00130879909925751,0.00597319288441129,"Oregon","Baseline"
2018-02-22,277033,"Breaking the silence",0,0,0,0.00133155793507484,"Oregon","Baseline"
2018-02-22,277033,"Lifeline",15,0.00541451740406378,0.00303049494373142,0.00893026605123697,"Oregon","Baseline"
2018-02-23,254146,"Breaking the silence",0,0,0,0.00145146989626505,"Oregon","Baseline"
2018-02-23,254146,"Lifeline",5,0.0019673730847623,0.00063880367220926,0.00459113226334582,"Oregon","Baseline"
2018-02-24,232798,"Breaking the silence",0,0,0,0.00158457127104817,"Oregon","Baseline"
2018-02-24,232798,"Lifeline",32,0.013745822558613,0.00940231646940566,0.0194044509878134,"Oregon","Baseline"
2018-02-25,221724,"Breaking the silence",0,0,0,0.00166371198781548,"Oregon","Baseline"
2018-02-25,221724,"Lifeline",9,0.00405910050332846,0.00185609548305384,0.00770529666052425,"Oregon","Baseline"
2018-02-26,229238,"Breaking the silence",0,0,0,0.00160917900771139,"Oregon","Baseline"
2018-02-26,229238,"Lifeline",4,0.00174491140212356,0.000475431610087317,0.00446760539240947,"Oregon","Baseline"
2018-02-27,237655,"Breaking the silence",0,0,0,0.00155218734084278,"Oregon","Baseline"
2018-02-27,237655,"Lifeline",8,0.00336622414845048,0.00145330750258625,0.00663269519365125,"Oregon","Baseline"
2018-02-28,248566,"Breaking the silence",0,0,0,0.00148405336271913,"Oregon","Baseline"
2018-02-28,248566,"Lifeline",5,0.00201153818301779,0.000653144094998991,0.0046941961352804,"Oregon","Baseline"
2018-03-01,241808,"Breaking the silence",0,0,0,0.00152552906296661,"Oregon","Baseline"
2018-03-01,241808,"Lifeline",7,0.00289485873089393,0.00116389101695948,0.00596442384007241,"Oregon","Baseline"
2018-03-02,242350,"Breaking the silence",0,0,0,0.00152211734248226,"Oregon","Baseline"
2018-03-02,242350,"Lifeline",6,0.00247575820094904,0.000908564870992577,0.00538860483472248,"Oregon","Baseline"
2018-03-03,205999,"Breaking the silence",0,0,0,0.00179071084103962,"Oregon","Baseline"
2018-03-03,205999,"Lifeline",10,0.00485439249705096,0.00232789364803955,0.00892721883240647,"Oregon","Baseline"
2018-03-04,195149,"Breaking the silence",0,0,0,0.00189027081312139,"Oregon","Baseline"
2018-03-04,195149,"Lifeline",8,0.00409943171627833,0.00176985972671438,0.00807735406537421,"Oregon","Baseline"
2018-03-05,229350,"Breaking the silence",0,0,0,0.00160839319302001,"Oregon","Baseline"
2018-03-05,229350,"Lifeline",5,0.00218007412252017,0.000707867800932275,0.00508749180389999,"Oregon","Baseline"
2018-03-06,231757,"Breaking the silence",0,0,0,0.00159168874998227,"Oregon","Baseline"
2018-03-06,231757,"Lifeline",29,0.0125131064002382,0.00838037884151945,0.0179704176659635,"Oregon","Baseline"
2018-03-07,236159,"Breaking the silence",0,0,0,0.00156201992874412,"Oregon","Baseline"
2018-03-07,236159,"Lifeline",74,0.0313348210315931,0.0246053501000459,0.0393364241190423,"Oregon","Baseline"
2018-03-08,242599,"Breaking the silence",0,0,0,0.00152055507579214,"Oregon","Baseline"
2018-03-08,242599,"Lifeline",26,0.0107172741849719,0.00700099498330482,0.0157028983375881,"Oregon","Baseline"
2018-03-09,224518,"Breaking the silence",0,0,0,0.00164300819966996,"Oregon","Baseline"
2018-03-09,224518,"Lifeline",8,0.00356318869756545,0.00153834412076599,0.00702078082744076,"Oregon","Baseline"
2018-03-10,199843,"Breaking the silence",0,0,0,0.00184587171330395,"Oregon","Baseline"
2018-03-10,199843,"Lifeline",11,0.00550432089190014,0.00274776815506334,0.00984853659017572,"Oregon","Baseline"
2018-03-11,188984,"Breaking the silence",0,0,0,0.00195193426520011,"Oregon","Baseline"
2018-03-11,188984,"Lifeline",12,0.00634974389366296,0.00328104699095524,0.011091461738326,"Oregon","Baseline"
2018-03-12,209128,"Breaking the silence",0,0,0,0.00176391823170961,"Oregon","Baseline"
2018-03-12,209128,"Lifeline",14,0.00669446463409969,0.00365997289217376,0.0112319192916392,"Oregon","Baseline"
2018-03-13,241017,"Breaking the silence",0,0,0,0.0015305356984086,"Oregon","Baseline"
2018-03-13,241017,"Lifeline",11,0.00456399341125315,0.00227835037830139,0.00816609783358016,"Oregon","Baseline"
2018-03-14,261884,"Breaking the silence",0,0,0,0.00140858298849441,"Oregon","Baseline"
2018-03-14,261884,"Lifeline",18,0.00687327213575476,0.00407358592091524,0.0108625165377735,"Oregon","Baseline"
