"date","tot_n","keywords","keywords_n","pr","prlow","prhigh","state","period"
2018-03-18,111,"Lifeline",5,4.5045045045045,1.47855676885027,10.199332558884,"Oregon","Baseline"
2018-03-19,146,"Breaking the silence",0,0,0,2.49497761119478,"Oregon","Baseline"
2018-03-19,146,"Lifeline",3,2.05479452054794,0.425769262254119,5.88739274543639,"Oregon","Baseline"
2018-03-20,204,"Breaking the silence",0,0,0,1.79202306624395,"Oregon","Baseline"
2018-03-20,204,"Lifeline",4,1.96078431372549,0.536769331713676,4.94402884801317,"Oregon","Baseline"
2018-03-21,300,"Breaking the silence",0,0,0,1.22209746942935,"Oregon","Baseline"
2018-03-21,300,"Lifeline",8,2.66666666666667,1.15815677543339,5.1865811960931,"Oregon","Baseline"
2018-03-22,258,"Breaking the silence",0,0,0,1.41962516553948,"Oregon","Baseline"
2018-03-22,258,"Lifeline",2,0.775193798449612,0.0940178229104418,2.77205572435484,"Oregon","Baseline"
2018-03-23,250,"Breaking the silence",0,0,0,1.46471886356804,"Oregon","Baseline"
2018-03-23,250,"Lifeline",14,5.6,3.09504046191615,9.21742663266773,"Oregon","Baseline"
2018-03-24,331,"Breaking the silence",0,0,0,1.10827793556838,"Oregon","Baseline"
2018-03-24,331,"Lifeline",7,2.11480362537764,0.854388259146617,4.30857636111072,"Oregon","Baseline"
2018-03-25,336,"Breaking the silence",0,0,0,1.09187607373578,"Oregon","Baseline"
2018-03-25,336,"Lifeline",8,2.38095238095238,1.03340395718973,4.63734920296495,"Oregon","Baseline"
2018-03-26,266,"Breaking the silence",0,0,0,1.37722505851113,"Oregon","Baseline"
2018-03-26,266,"Lifeline",6,2.25563909774436,0.832174662509962,4.84466979201301,"Oregon","Baseline"
2018-03-27,465,"Breaking the silence",0,0,0,0.790169030737664,"Oregon","Baseline"
2018-03-27,465,"Lifeline",31,6.66666666666667,4.57427584788675,9.32960384777946,"Oregon","Baseline"
2018-03-28,322,"Breaking the silence",0,0,0,1.13907755911046,"Oregon","Baseline"
2018-03-28,322,"Lifeline",0,0,0,1.13907755911046,"Oregon","Baseline"
2018-03-29,230,"Breaking the silence",0,0,0,1.59106727477668,"Oregon","Baseline"
2018-03-29,230,"Lifeline",4,1.73913043478261,0.475836401156379,4.39275533710168,"Oregon","Baseline"
2018-03-30,166,"Breaking the silence",0,0,0,2.19770719284961,"Oregon","Baseline"
2018-03-30,166,"Lifeline",2,1.20481927710843,0.146243698598859,4.28426589356472,"Oregon","Baseline"
2018-03-31,148,"Breaking the silence",0,0,0,2.46168015789843,"Oregon","Baseline"
2018-03-31,148,"Lifeline",4,2.7027027027027,0.741201250964466,6.77523469442092,"Oregon","Baseline"
2018-04-01,120,"Breaking the silence",0,0,0,3.02729725774201,"Oregon","Baseline"
2018-04-01,120,"Lifeline",2,1.66666666666667,0.202482233769308,5.89092194670268,"Oregon","Baseline"
2018-04-02,231,"Breaking the silence",0,0,0,1.58423438765577,"Oregon","Baseline"
2018-04-02,231,"Lifeline",8,3.46320346320346,1.50680687500485,6.70959635765897,"Oregon","Baseline"
2018-04-03,218,"Breaking the silence",0,0,0,1.67791015232175,"Oregon","Baseline"
2018-04-03,218,"Lifeline",14,6.42201834862385,3.55513886280545,10.5403829868178,"Oregon","Baseline"
2018-04-04,178,"Breaking the silence",0,0,0,2.05107747145106,"Oregon","Baseline"
2018-04-04,178,"Lifeline",6,3.37078651685393,1.24687992489085,7.19209795536137,"Oregon","Baseline"
2018-04-05,125,"Breaking the silence",0,0,0,2.90798371364315,"Oregon","Baseline"
2018-04-05,125,"Lifeline",3,2.4,0.497698974905344,6.853631611067,"Oregon","Baseline"
2018-04-06,153,"Breaking the silence",0,0,0,2.38219912934355,"Oregon","Baseline"
2018-04-06,153,"Lifeline",4,2.61437908496732,0.716825407999095,6.55836266044046,"Oregon","Baseline"
2018-04-07,112,"Breaking the silence",0,0,0,3.23999259313599,"Oregon","Baseline"
2018-04-07,112,"Lifeline",7,6.25,2.54950909999149,12.4539368160551,"Oregon","Baseline"
2018-04-08,110,"Breaking the silence",0,0,0,3.29791940322197,"Oregon","Baseline"
2018-04-08,110,"Lifeline",3,2.72727272727273,0.565999644147929,7.76367704995132,"Oregon","Baseline"
2018-04-09,146,"Breaking the silence",0,0,0,2.49497761119478,"Oregon","Baseline"
2018-04-09,146,"Lifeline",5,3.42465753424658,1.12115784489128,7.81085361268865,"Oregon","Baseline"
2018-04-10,229,"Breaking the silence",0,0,0,1.59795935713576,"Oregon","Baseline"
2018-04-10,229,"Lifeline",4,1.74672489082969,0.477923044924414,4.4116754010151,"Oregon","Baseline"
2018-04-11,119,"Breaking the silence",0,0,0,3.05234448537962,"Oregon","Baseline"
