"date","tot_n","weekday","keywords","keywords_n","pr","bl","prlow","prhigh","state","period"
2018-02-06,250702,"Tuesday","Campaign",0,0,0,0,0.00147140920885808,"Oregon","Baseline"
2018-02-06,250702,"Tuesday","Prevention",16,0.00638207912182591,0.00413016349954924,0.00364795224682344,0.0103638903052088,"Oregon","Baseline"
2018-02-07,260869,"Wednesday","Campaign",0,0,0,0,0.00141406352326381,"Oregon","Baseline"
2018-02-07,260869,"Wednesday","Prevention",10,0.00383334163890688,0.00336388734341282,0.0018382511306718,0.00704953838790287,"Oregon","Baseline"
2018-02-08,259617,"Thursday","Campaign",0,0,0,0,0.00142088277991249,"Oregon","Baseline"
2018-02-08,259617,"Thursday","Prevention",14,0.00539255903889191,0.00298992690005255,0.00294819256187179,0.00904763240497399,"Oregon","Baseline"
2018-02-09,252973,"Friday","Campaign",0,0,0,0,0.00145820010768994,"Oregon","Baseline"
2018-02-09,252973,"Friday","Prevention",11,0.00434829013372969,0.00344542217630394,0.0021706701124878,0.00778015866111987,"Oregon","Baseline"
2018-02-10,229917,"Saturday","Campaign",0,0,0,0,0.00160442675458985,"Oregon","Baseline"
2018-02-10,229917,"Saturday","Prevention",8,0.00347951652117938,0.00321724002920507,0.00150221985000646,0.00685591891752257,"Oregon","Baseline"
2018-02-11,212704,"Sunday","Campaign",0,0,0,0,0.00173426332677322,"Oregon","Baseline"
2018-02-11,212704,"Sunday","Prevention",4,0.00188054761546562,0.00391136913000111,0.000512388233082034,0.00481487814596494,"Oregon","Baseline"
2018-02-12,228952,"Monday","Campaign",0,0,0,0,0.00161118912987078,"Oregon","Baseline"
2018-02-12,228952,"Monday","Prevention",2,0.000873545546664803,0.00307072257940697,0.000105790593390849,0.00315551086448683,"Oregon","Baseline"
2018-02-13,248600,"Tuesday","Campaign",0,0,0,0,0.00148385039634757,"Oregon","Baseline"
2018-02-13,248600,"Tuesday","Prevention",2,0.00080450522928399,0.00413016349954924,0.0000974294640789198,0.00290611896601175,"Oregon","Baseline"
2018-02-14,262413,"Wednesday","Campaign",0,0,0,0,0.0014057434372393,"Oregon","Baseline"
2018-02-14,262413,"Wednesday","Prevention",8,0.00304862945052265,0.00336388734341282,0.00131619070474651,0.00600692650626442,"Oregon","Baseline"
2018-02-15,295532,"Thursday","Campaign",0,0,0,0,0.00124820880026767,"Oregon","Baseline"
2018-02-15,295532,"Thursday","Prevention",5,0.00169186416361003,0.00298992690005255,0.000549345897492647,0.00394820203521617,"Oregon","Baseline"
2018-02-16,284477,"Friday","Campaign",0,0,0,0,0.00129671486163668,"Oregon","Baseline"
2018-02-16,284477,"Friday","Prevention",4,0.00140608906871206,0.00344542217630394,0.000383113233275276,0.00360010697620737,"Oregon","Baseline"
2018-02-17,247689,"Saturday","Campaign",0,0,0,0,0.0014893079566142,"Oregon","Baseline"
2018-02-17,247689,"Saturday","Prevention",5,0.00201866049764019,0.00321724002920507,0.000655456713320024,0.00471081679503358,"Oregon","Baseline"
2018-02-18,240492,"Sunday","Campaign",0,0,0,0,0.00153387687016917,"Oregon","Baseline"
2018-02-18,240492,"Sunday","Prevention",5,0.00207907123729687,0.00391136913000111,0.000675072107071409,0.00485179145711094,"Oregon","Baseline"
2018-02-19,251031,"Monday","Campaign",0,0,0,0,0.00146948080131931,"Oregon","Baseline"
2018-02-19,251031,"Monday","Prevention",1,0.000398357175010258,0.00307072257940697,0.0000100855299574843,0.00221948391126872,"Oregon","Baseline"
2018-02-20,270644,"Tuesday","Campaign",0,0,0,0,0.00136299135192462,"Oregon","Baseline"
2018-02-20,270644,"Tuesday","Prevention",8,0.00295591256410635,0.00413016349954924,0.0012761616013246,0.00582424260064825,"Oregon","Baseline"
2018-02-21,286900,"Wednesday","Campaign",0,0,0,0,0.00128576358972767,"Oregon","Baseline"
2018-02-21,286900,"Wednesday","Prevention",8,0.00278842802370164,0.00336388734341282,0.0012038527438754,0.00549424048578945,"Oregon","Baseline"
2018-02-22,303850,"Thursday","Campaign",0,0,0,0,0.0012140388553081,"Oregon","Baseline"
2018-02-22,303850,"Thursday","Prevention",15,0.00493664637156492,0.00298992690005255,0.00276302898209512,0.00814211694415097,"Oregon","Baseline"
2018-02-23,277485,"Friday","Campaign",0,0,0,0,0.00132938895229711,"Oregon","Baseline"
2018-02-23,277485,"Friday","Prevention",7,0.00252265888246212,0.00344542217630394,0.00101424552919427,0.00519757192651482,"Oregon","Baseline"
2018-02-24,254979,"Saturday","Campaign",0,0,0,0,0.0014467280717323,"Oregon","Baseline"
2018-02-24,254979,"Saturday","Prevention",37,0.0145109989450112,0.00321724002920507,0.0102172817449457,0.0200009514711128,"Oregon","Baseline"
2018-02-25,245890,"Sunday","Campaign",0,0,0,0,0.00150020406835777,"Oregon","Baseline"
2018-02-25,245890,"Sunday","Prevention",10,0.00406685916466713,0.00391136913000111,0.00195023372090121,0.00747897119896737,"Oregon","Baseline"
2018-02-26,251515,"Monday","Campaign",0,0,0,0,0.00146665304356258,"Oregon","Baseline"
2018-02-26,251515,"Monday","Prevention",4,0.00159036240383277,0.00307072257940697,0.00043332187430305,0.00407190887164794,"Oregon","Baseline"
2018-02-27,259383,"Tuesday","Campaign",0,0,0,0,0.00142216460719583,"Oregon","Baseline"
2018-02-27,259383,"Tuesday","Prevention",9,0.00346977249858318,0.00413016349954924,0.00158661281370557,0.00658660636619491,"Oregon","Baseline"
