"date","ntweets"
2018-12-18,"281"
2018-12-19,"298"
2018-12-20,"252"
2018-12-21,"168"
2018-12-22,"142"
2018-12-23,"298"
2018-12-24,"376"
2018-12-25,"285"
2018-12-26,"253"
2018-12-27,"211"
2018-12-28,"256"
2018-12-29,"201"
2018-12-30,"209"
2018-12-31,"221"
2019-01-01,"271"
2019-01-02,"133"
2019-01-03,"91"
2019-01-04,"87"
2019-01-05,"98"
2019-01-06,"123"
2019-01-07,"185"
2019-01-08,"217"
2019-01-09,"212"
2019-01-10,"151"
2019-01-11,"291"
2019-01-12,"125"
2019-01-13,"121"
2019-01-14,"131"
2019-01-15,"498"
2019-01-16,"306"
2019-01-17,"269"
2019-01-18,"299"
2019-01-19,"210"
2019-01-20,"315"
2019-01-21,"166"
2019-01-22,"166"
2019-01-23,"172"
2019-01-24,"165"
2019-01-25,"159"
2019-01-26,"128"
2019-01-27,"236"
2019-01-28,"227"
2019-01-29,"238"
2019-01-30,"278"
2019-01-31,"184"
2019-02-01,"144"
2019-02-02,"157"
2019-02-03,"174"
2019-02-04,"131"
2019-02-05,"193"
2019-02-06,"195"
2019-02-07,"156"
2019-02-08,"153"
2019-02-09,"385"
2019-02-10,"467"
2019-02-11,"224"
2019-02-12,"139"
2019-02-13,"227"
2019-02-14,"251"
2019-02-15,"190"
2019-02-16,"158"
2019-02-17,"184"
2019-02-18,"224"
2019-02-19,"216"
2019-02-20,"202"
2019-02-21,"152"
2019-02-22,"271"
2019-02-23,"172"
2019-02-24,"149"
2019-02-25,"212"
2019-02-26,"167"
2019-02-27,"175"
2019-02-28,"176"
2019-03-01,"109"
2019-03-02,"167"
2019-03-03,"221"
2019-03-04,"366"
2019-03-05,"336"
2019-03-06,"222"
2019-03-07,"210"
2019-03-08,"104"
2019-03-09,"108"
2019-03-10,"190"
2019-03-11,"146"
2019-03-12,"156"
2019-03-13,"149"
2019-03-14,"230"
2019-03-15,"163"
2019-03-16,"111"
2019-03-17,"150"
2019-03-18,"326"
2019-03-19,"285"
2019-03-20,"241"
2019-03-21,"292"
2019-03-22,"413"
2019-03-23,"804"
2019-03-24,"916"
2019-03-25,"571"
2019-03-26,"300"
2019-03-27,"272"
2019-03-28,"253"
2019-03-29,"162"
2019-03-30,"128"
2019-03-31,"165"
2019-04-01,"252"
2019-04-02,"252"
2019-04-03,"260"
2019-04-04,"307"
2019-04-05,"226"
2019-04-06,"184"
2019-04-07,"302"
2019-04-08,"351"
2019-04-09,"290"
2019-04-10,"362"
2019-04-11,"258"
2019-04-12,"213"
2019-04-13,"174"
2019-04-14,"155"
2019-04-15,"145"
2019-04-16,"197"
2019-04-17,"146"
2019-04-18,"159"
2019-04-19,"130"
2019-04-20,"190"
2019-04-21,"237"
2019-04-22,"284"
2019-04-23,"215"
2019-04-24,"223"
2019-04-25,"211"
2019-04-26,"149"
2019-04-27,"148"
2019-04-28,"192"
2019-04-29,"217"
2019-04-30,"195"
2019-05-01,"153"
2019-05-02,"181"
2019-05-03,"139"
2019-05-04,"143"
2019-05-05,"164"
2019-05-06,"169"
2019-05-07,"178"
2019-05-08,"204"
2019-05-09,"141"
2019-05-10,"195"
2019-05-11,"215"
2019-05-12,"158"
2019-05-13,"206"
2019-05-14,"230"
2019-05-15,"351"
2019-05-16,"338"
2019-05-17,"292"
2019-05-18,"178"
2019-05-19,"155"
2019-05-20,"152"
2019-05-21,"193"
2019-05-22,"251"
2019-05-23,"256"
2019-05-24,"188"
2019-05-25,"247"
2019-05-26,"224"
2019-05-27,"189"
2019-05-28,"124"
2019-05-29,"164"
2019-05-30,"166"
2019-05-31,"182"
2019-06-01,"168"
