"date","ntweets"
2019-05-17,"318"
2019-05-18,"237"
2019-05-19,"196"
2019-05-20,"232"
2019-05-21,"236"
2019-05-22,"258"
2019-05-23,"347"
2019-05-24,"276"
2019-05-25,"294"
2019-05-26,"297"
2019-05-27,"257"
2019-05-28,"174"
2019-05-29,"152"
2019-05-30,"176"
2019-05-31,"242"
2019-06-01,"210"
2019-06-02,"304"
2019-06-03,"420"
2019-06-04,"264"
2019-06-05,"223"
2019-06-06,"384"
2019-06-07,"243"
2019-06-08,"225"
2019-06-09,"217"
2019-06-10,"226"
2019-06-11,"319"
2019-06-12,"314"
2019-06-13,"296"
2019-06-14,"224"
2019-06-15,"150"
2019-06-16,"196"
2019-06-17,"229"
2019-06-18,"175"
2019-06-19,"183"
2019-06-20,"277"
2019-06-21,"189"
2019-06-22,"146"
2019-06-23,"165"
2019-06-24,"443"
2019-06-25,"458"
2019-06-26,"345"
2019-06-27,"202"
2019-06-28,"252"
2019-06-29,"247"
2019-06-30,"176"
2019-07-01,"177"
2019-07-02,"203"
2019-07-03,"337"
2019-07-04,"187"
2019-07-05,"249"
2019-07-06,"194"
2019-07-07,"206"
2019-07-08,"208"
2019-07-09,"178"
2019-07-10,"229"
2019-07-11,"167"
2019-07-12,"166"
2019-07-13,"128"
2019-07-14,"212"
2019-07-15,"245"
2019-07-16,"161"
2019-07-17,"207"
2019-07-18,"219"
2019-07-19,"144"
2019-07-20,"199"
2019-07-21,"204"
2019-07-22,"277"
2019-07-23,"268"
2019-07-24,"642"
2019-07-25,"308"
2019-07-26,"207"
2019-07-27,"270"
2019-07-28,"296"
2019-07-29,"236"
2019-07-30,"197"
2019-07-31,"239"
2019-08-01,"217"
2019-08-02,"180"
2019-08-03,"482"
2019-08-04,"776"
2019-08-05,"339"
2019-08-06,"161"
2019-08-07,"250"
2019-08-08,"302"
2019-08-09,"6665"
2019-08-10,"3963"
2019-08-11,"1413"
2019-08-12,"828"
2019-08-13,"503"
2019-08-14,"751"
2019-08-15,"575"
2019-08-16,"458"
2019-08-17,"309"
2019-08-18,"363"
2019-08-19,"354"
2019-08-20,"328"
2019-08-21,"310"
2019-08-22,"257"
2019-08-23,"230"
2019-08-24,"173"
2019-08-25,"160"
2019-08-26,"280"
2019-08-27,"253"
2019-08-28,"381"
2019-08-29,"301"
2019-08-30,"159"
2019-08-31,"322"
2019-09-01,"277"
2019-09-02,"407"
2019-09-03,"388"
2019-09-04,"330"
2019-09-05,"278"
2019-09-06,"230"
2019-09-07,"267"
2019-09-08,"395"
2019-09-09,"1099"
2019-09-10,"1252"
2019-09-11,"496"
2019-09-12,"384"
2019-09-13,"380"
2019-09-14,"248"
2019-09-15,"187"
2019-09-16,"211"
2019-09-17,"237"
2019-09-18,"274"
2019-09-19,"346"
2019-09-20,"270"
2019-09-21,"224"
2019-09-22,"156"
2019-09-23,"219"
2019-09-24,"271"
2019-09-25,"275"
2019-09-26,"280"
2019-09-27,"223"
2019-09-28,"169"
2019-09-29,"248"
2019-09-30,"334"
2019-10-01,"217"
2019-10-02,"301"
2019-10-03,"224"
2019-10-04,"175"
2019-10-05,"262"
2019-10-06,"287"
2019-10-07,"304"
2019-10-08,"266"
2019-10-09,"316"
2019-10-10,"315"
2019-10-11,"222"
2019-10-12,"174"
2019-10-13,"268"
2019-10-14,"211"
2019-10-15,"230"
2019-10-16,"285"
2019-10-17,"247"
2019-10-18,"244"
2019-10-19,"178"
2019-10-20,"196"
2019-10-21,"253"
2019-10-22,"265"
2019-10-23,"299"
2019-10-24,"192"
2019-10-25,"156"
2019-10-26,"411"
2019-10-27,"231"
2019-10-28,"223"
2019-10-29,"707"
2019-10-30,"322"
2019-10-31,"163"
2019-11-01,"140"
2019-11-02,"124"
2019-11-03,"179"
2019-11-04,"200"
2019-11-05,"279"
2019-11-06,"191"
2019-11-07,"188"
2019-11-08,"242"
2019-11-09,"319"
2019-11-10,"343"
2019-11-11,"277"
2019-11-12,"182"
2019-11-13,"185"
2019-11-14,"205"
2019-11-15,"244"
2019-11-16,"203"
2019-11-17,"219"
2019-11-18,"297"
2019-11-19,"283"
2019-11-20,"203"
2019-11-21,"257"
2019-11-22,"205"
2019-11-23,"238"
2019-11-24,"271"
2019-11-25,"367"
2019-11-26,"390"
2019-11-27,"240"
2019-11-28,"327"
2019-11-29,"413"
2019-11-30,"212"
2019-12-01,"182"
2019-12-02,"320"
2019-12-03,"193"
2019-12-04,"209"
2019-12-05,"210"
2019-12-06,"168"
2019-12-07,"270"
2019-12-08,"208"
2019-12-09,"268"
2019-12-10,"207"
2019-12-11,"216"
2019-12-12,"255"
2019-12-13,"172"
2019-12-14,"139"
2019-12-15,"174"
2019-12-16,"212"
2019-12-17,"177"
2019-12-18,"308"
2019-12-19,"521"
2019-12-20,"368"
2019-12-21,"908"
2019-12-22,"795"
2019-12-23,"605"
2019-12-24,"311"
2019-12-25,"277"
2019-12-26,"230"
2019-12-27,"245"
2019-12-28,"164"
2019-12-29,"237"
2019-12-30,"233"
2019-12-31,"216"
2020-01-01,"334"
2020-01-02,"267"
2020-01-03,"233"
2020-01-04,"204"
2020-01-05,"417"
2020-01-06,"280"
2020-01-07,"411"
2020-01-08,"435"
2020-01-09,"553"
2020-01-10,"278"
2020-01-11,"211"
2020-01-12,"191"
2020-01-13,"244"
2020-01-14,"309"
2020-01-15,"300"
2020-01-16,"202"
2020-01-17,"187"
2020-01-18,"176"
2020-01-19,"275"
2020-01-20,"257"
2020-01-21,"230"
2020-01-22,"446"
2020-01-23,"339"
2020-01-24,"204"
2020-01-25,"177"
2020-01-26,"245"
2020-01-27,"272"
2020-01-28,"189"
2020-01-29,"273"
2020-01-30,"258"
2020-01-31,"269"
2020-02-01,"191"
2020-02-02,"203"
2020-02-03,"233"
2020-02-04,"329"
2020-02-05,"190"
2020-02-06,"212"
2020-02-07,"254"
2020-02-08,"149"
2020-02-09,"260"
2020-02-10,"336"
2020-02-11,"299"
2020-02-12,"269"
2020-02-13,"340"
2020-02-14,"216"
2020-02-15,"256"
2020-02-16,"244"
2020-02-17,"261"
2020-02-18,"271"
2020-02-19,"449"
2020-02-20,"696"
2020-02-21,"337"
2020-02-22,"330"
2020-02-23,"241"
2020-02-24,"254"
2020-02-25,"247"
2020-02-26,"215"
2020-02-27,"332"
2020-02-28,"300"
2020-02-29,"131"
2020-03-01,"208"
